distance,velocity,root
1.2,11.2,63.9459228515625
1.2,11.3,63.88275146484375
1.2,11.4,63.82232666015625
1.2,11.5,63.7646484375
1.2,11.6,63.70697021484375
1.2,11.7,63.65203857421875
1.2,11.8,63.599853515625
1.2,11.9,63.54766845703125
1.2,12,63.49822998046875
1.2,12.1,63.44879150390625
1.2,12.2,63.402099609375
1.2,12.3,63.356781005859375
1.2,12.4,63.31146240234375
1.2,12.5,63.26751708984375
1.3,7.5,68.6041259765625
1.3,7.6,68.148193359375
1.3,7.7,67.74169921875
1.3,7.8,67.37091064453125
1.3,7.9,67.0330810546875
1.3,8,66.7254638671875
1.3,8.1,66.43707275390625
1.3,8.2,66.170654296875
1.3,8.3,65.92071533203125
1.3,8.4,65.68450927734375
1.3,8.5,65.46478271484375
1.3,8.6,65.2587890625
1.3,8.7,65.06240844726563
1.3,8.8,64.87701416015625
1.3,8.9,64.70123291015625
1.3,9,64.53369140625
1.3,9.1,64.3743896484375
1.3,9.2,64.22332763671875
1.3,9.3,64.08050537109375
1.3,9.4,63.94317626953125
1.3,9.5,63.81134033203125
1.3,9.6,63.68499755859375
1.3,9.7,63.562774658203125
1.3,9.8,63.446044921875
1.3,9.9,63.336181640625
1.3,10,63.22906494140625
1.3,10.1,63.126068115234375
1.3,10.2,63.02581787109375
1.3,10.3,62.931060791015625
1.3,10.4,62.83905029296875
1.3,10.5,62.75115966796875
1.3,10.6,62.666015625
1.3,10.7,62.5836181640625
1.3,10.8,62.502593994140625
1.3,10.9,62.42431640625
1.3,11,62.3529052734375
1.3,11.1,62.27874755859375
1.3,11.2,62.2100830078125
1.3,11.3,62.142791748046875
1.3,11.4,62.07550048828125
1.3,11.5,62.01507568359375
1.3,11.6,61.951904296875
1.3,11.7,61.89422607421875
1.3,11.8,61.835174560546875
1.3,11.9,61.77886962890625
1.3,12,61.72393798828125
1.3,12.1,61.6717529296875
1.3,12.2,61.61956787109375
1.3,12.3,61.57012939453125
1.3,12.4,61.52069091796875
1.3,12.5,61.4739990234375
1.4,7.5,67.55767822265625
1.4,7.6,67.04681396484375
1.4,7.7,66.5936279296875
1.4,7.8,66.18438720703125
1.4,7.9,65.81085205078125
1.4,8,65.467529296875
1.4,8.1,65.1544189453125
